epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8703,1.45975,1.48839,1.42973,0.79893,0.57702,0.68094,0.48249,1.21736,1.14787,1.3125,0.00332272,0.00332272,0.00332272
2,52.0758,1.20236,1.03749,1.20791,0.61938,0.51131,0.56252,0.35797,1.39184,1.59016,1.3011,0.00665276,0.00665276,0.00665276
3,74.5548,1.25211,1.05912,1.21367,0.66904,0.46032,0.52928,0.33479,1.5315,1.60513,1.45637,0.00997949,0.00997949,0.00997949
4,97.1775,1.28992,1.10526,1.23249,0.72256,0.57092,0.63526,0.42285,1.3813,1.2928,1.35877,0.00998515,0.00998515,0.00998515
5,118.852,1.27334,1.07059,1.232,0.73624,0.57128,0.64727,0.4373,1.37923,1.26496,1.34652,0.0099802,0.0099802,0.0099802
6,141.501,1.24125,1.03743,1.21375,0.79533,0.5781,0.68403,0.46878,1.29065,1.18021,1.27766,0.00997525,0.00997525,0.00997525
7,163.489,1.21445,1.00802,1.20472,0.81933,0.65136,0.73734,0.52303,1.23289,1.02474,1.27274,0.0099703,0.0099703,0.0099703
8,185.163,1.21497,1.00061,1.19962,0.78559,0.64993,0.72091,0.51179,1.2217,1.09158,1.24634,0.00996535,0.00996535,0.00996535
9,206.936,1.19294,0.97906,1.19733,0.82599,0.67155,0.75638,0.53073,1.18179,0.97949,1.23649,0.0099604,0.0099604,0.0099604
10,229.284,1.19019,0.96899,1.19199,0.80356,0.66391,0.75287,0.53088,1.19003,0.96649,1.23528,0.00995545,0.00995545,0.00995545
11,250.962,1.17269,0.95722,1.18771,0.82297,0.67935,0.76843,0.54421,1.151,0.94602,1.23227,0.0099505,0.0099505,0.0099505
12,270.458,1.16057,0.93974,1.17967,0.8234,0.62729,0.72864,0.52551,1.16156,1.06703,1.22323,0.00994555,0.00994555,0.00994555
13,290.275,1.16334,0.93273,1.18168,0.81458,0.69724,0.77991,0.55666,1.15796,0.91084,1.21947,0.0099406,0.0099406,0.0099406
14,308.797,1.14661,0.91932,1.16895,0.82061,0.6754,0.76646,0.54872,1.1683,0.91039,1.25045,0.00993565,0.00993565,0.00993565
15,327.655,1.1482,0.919,1.17454,0.83915,0.69048,0.77824,0.56584,1.13509,0.89234,1.21331,0.0099307,0.0099307,0.0099307
16,347.688,1.13375,0.90141,1.16122,0.81672,0.64962,0.73557,0.51428,1.22855,1.0242,1.24381,0.00992575,0.00992575,0.00992575
17,366.103,1.12794,0.90415,1.1671,0.8259,0.69495,0.7738,0.56174,1.14654,0.9189,1.23795,0.0099208,0.0099208,0.0099208
18,384.77,1.11948,0.88597,1.15951,0.81798,0.67289,0.75798,0.54606,1.15692,0.95995,1.21776,0.00991585,0.00991585,0.00991585
19,403.85,1.11784,0.88475,1.15685,0.80593,0.64565,0.73262,0.52537,1.16369,0.97148,1.23329,0.0099109,0.0099109,0.0099109
20,422.548,1.12152,0.88411,1.15718,0.81892,0.68364,0.7695,0.55423,1.12342,0.9294,1.20733,0.00990595,0.00990595,0.00990595
21,441.417,1.10384,0.87031,1.15284,0.83005,0.65064,0.74747,0.53901,1.14981,1.01157,1.22065,0.009901,0.009901,0.009901
22,459.945,1.10232,0.87451,1.15513,0.82215,0.68054,0.76364,0.55814,1.12142,0.90743,1.19754,0.00989605,0.00989605,0.00989605
23,479.061,1.1056,0.87389,1.1544,0.85224,0.68618,0.77425,0.568,1.10964,0.89909,1.20618,0.0098911,0.0098911,0.0098911
24,500.061,1.09294,0.8556,1.14501,0.84525,0.7009,0.78828,0.57811,1.09227,0.86029,1.19929,0.00988615,0.00988615,0.00988615
