epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6934,2.41481,2.38498,2.15975,0.13863,0.23191,0.09606,0.02569,2.78355,2.89034,2.52302,0.00066,0.00066,0.00066
2,23.6419,2.25735,2.17278,1.99957,0.25676,0.27912,0.18228,0.05923,2.55109,2.41739,2.43311,0.00132338,0.00132338,0.00132338
3,32.2094,2.18338,2.11559,1.94536,0.15661,0.18368,0.07404,0.02339,2.60447,2.89926,2.38918,0.00198347,0.00198347,0.00198347
