epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1137,1.83369,1.8147,2.35154,0.78544,0.66511,0.73822,0.48056,1.33381,1.06418,1.9666,0.00332272,0.00332272,0.00332272
2,64.5533,1.37941,1.10374,2.02554,0.77635,0.66061,0.74112,0.49089,1.27737,1.0825,1.83705,0.00665276,0.00665276,0.00665276
3,91.8454,1.29128,1.02886,1.93605,0.81555,0.69659,0.783,0.53868,1.19169,0.96983,1.74494,0.00997949,0.00997949,0.00997949
4,118.361,1.26813,1.01819,1.91991,0.78328,0.69084,0.75527,0.51245,1.22985,1.02358,1.79075,0.00998515,0.00998515,0.00998515
5,144.49,1.23515,0.98253,1.90937,0.79978,0.71095,0.76969,0.52672,1.20472,0.98562,1.76428,0.0099802,0.0099802,0.0099802
6,170.372,1.20336,0.96171,1.89012,0.83487,0.70269,0.79212,0.5469,1.18364,0.92022,1.74585,0.00997525,0.00997525,0.00997525
7,196.427,1.18346,0.94063,1.87488,0.8455,0.70545,0.80335,0.55949,1.14875,0.93494,1.72177,0.0099703,0.0099703,0.0099703
8,222.422,1.17777,0.93838,1.85919,0.82947,0.69048,0.7782,0.54208,1.15974,0.98924,1.71309,0.00996535,0.00996535,0.00996535
9,248.258,1.16296,0.93002,1.8479,0.83812,0.71849,0.79749,0.56758,1.14774,0.92347,1.71296,0.0099604,0.0099604,0.0099604
10,275.524,1.15545,0.92133,1.85767,0.83406,0.71106,0.80711,0.58306,1.08937,0.90231,1.66845,0.00995545,0.00995545,0.00995545
11,302.47,1.14411,0.91367,1.8564,0.81661,0.71467,0.79667,0.55836,1.10854,0.97366,1.68176,0.0099505,0.0099505,0.0099505
12,329.576,1.13227,0.9032,1.83308,0.82004,0.70952,0.79945,0.57501,1.09487,0.93666,1.67496,0.00994555,0.00994555,0.00994555
13,355.843,1.13455,0.90831,1.84244,0.83254,0.72297,0.8106,0.58926,1.0933,0.89016,1.65033,0.0099406,0.0099406,0.0099406
14,381.957,1.11412,0.89041,1.82828,0.83345,0.72771,0.81243,0.57691,1.09595,0.89443,1.68133,0.00993565,0.00993565,0.00993565
15,405.904,1.12068,0.89435,1.82538,0.85433,0.69073,0.79488,0.56981,1.10973,0.93852,1.67443,0.0099307,0.0099307,0.0099307
16,426.771,1.10369,0.88395,1.80782,0.82976,0.70341,0.79151,0.56574,1.09958,0.9695,1.66603,0.00992575,0.00992575,0.00992575
17,448.234,1.10267,0.88255,1.81794,0.85585,0.71203,0.81482,0.58818,1.09325,0.90644,1.6816,0.0099208,0.0099208,0.0099208
18,471.132,1.0901,0.86757,1.80278,0.82379,0.73526,0.80695,0.5677,1.12766,0.90253,1.6839,0.00991585,0.00991585,0.00991585
19,492.401,1.0897,0.86549,1.80296,0.82223,0.70018,0.79299,0.57022,1.10794,0.93795,1.67462,0.0099109,0.0099109,0.0099109
20,513.773,1.08656,0.86291,1.80048,0.81616,0.72531,0.80608,0.5777,1.06872,0.9117,1.64569,0.00990595,0.00990595,0.00990595
21,534.861,1.08514,0.86122,1.79895,0.84225,0.71526,0.80866,0.59176,1.0589,0.8903,1.64228,0.009901,0.009901,0.009901
22,557.296,1.07482,0.85848,1.80756,0.83699,0.71849,0.80467,0.5809,1.09394,0.90754,1.6851,0.00989605,0.00989605,0.00989605
23,579.425,1.07831,0.86128,1.79564,0.84436,0.72819,0.81505,0.59427,1.05834,0.84047,1.6337,0.0098911,0.0098911,0.0098911
24,601.007,1.06163,0.84748,1.78432,0.82661,0.73263,0.80897,0.58664,1.07109,0.92064,1.63952,0.00988615,0.00988615,0.00988615
25,621.838,1.06149,0.84285,1.78124,0.84757,0.72352,0.81666,0.59524,1.04247,0.86447,1.64027,0.0098812,0.0098812,0.0098812
26,645.189,1.06079,0.84418,1.78876,0.82543,0.71985,0.80275,0.57807,1.06644,0.92754,1.64653,0.00987625,0.00987625,0.00987625
27,670.785,1.0599,0.84554,1.77928,0.84301,0.73752,0.82313,0.6121,1.0248,0.8438,1.60506,0.0098713,0.0098713,0.0098713
28,695.156,1.04732,0.83507,1.7797,0.79795,0.74614,0.81157,0.59297,1.05683,0.89628,1.64725,0.00986635,0.00986635,0.00986635
29,719.893,1.05959,0.84328,1.78191,0.83886,0.72424,0.80937,0.59522,1.04625,0.89649,1.64752,0.0098614,0.0098614,0.0098614
30,745.717,1.05184,0.83554,1.7714,0.82144,0.7447,0.81858,0.60006,1.02961,0.84903,1.62103,0.00985645,0.00985645,0.00985645
31,771.021,1.04301,0.82691,1.76274,0.83705,0.73411,0.82167,0.60318,1.03445,0.87231,1.63016,0.0098515,0.0098515,0.0098515
32,795.535,1.05176,0.8296,1.77433,0.84424,0.73501,0.82274,0.60818,1.03284,0.88377,1.61694,0.00984655,0.00984655,0.00984655
33,820.389,1.03679,0.82382,1.77051,0.8188,0.7246,0.80191,0.58813,1.04481,0.89434,1.64792,0.0098416,0.0098416,0.0098416
34,845.997,1.03485,0.82024,1.76307,0.86907,0.73573,0.83443,0.60851,1.04451,0.82756,1.60838,0.00983665,0.00983665,0.00983665
35,870.586,1.02903,0.81555,1.75858,0.84528,0.73957,0.82637,0.61118,1.03723,0.83454,1.61536,0.0098317,0.0098317,0.0098317
36,895.077,1.02973,0.82109,1.77123,0.8528,0.74722,0.83369,0.62291,1.00272,0.81869,1.61183,0.00982675,0.00982675,0.00982675
37,920.18,1.03266,0.81831,1.7596,0.83406,0.75224,0.82915,0.61468,1.00328,0.8284,1.59055,0.0098218,0.0098218,0.0098218
38,945.791,1.03176,0.8197,1.7632,0.84713,0.72567,0.819,0.61271,1.02132,0.85251,1.62078,0.00981685,0.00981685,0.00981685
39,970.571,1.03095,0.81271,1.75118,0.8194,0.73961,0.82189,0.60933,1.02894,0.85022,1.60294,0.0098119,0.0098119,0.0098119
40,995.406,1.02979,0.81174,1.75856,0.83907,0.74758,0.82917,0.61992,1.0087,0.82338,1.59857,0.00980695,0.00980695,0.00980695
41,1021.44,1.03049,0.81192,1.75642,0.83614,0.76122,0.83441,0.62193,0.99344,0.82686,1.58278,0.009802,0.009802,0.009802
42,1046.31,1.02398,0.80569,1.7467,0.85308,0.74829,0.83591,0.61681,1.00983,0.82154,1.5917,0.00979705,0.00979705,0.00979705
