epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8997,1.57498,1.91641,1.51055,0.7344,0.63742,0.69486,0.48665,1.00438,1.41705,1.08442,0.00328829,0.00328829,0.00328829
2,18.9002,1.2366,1.16086,1.21804,0.78946,0.64475,0.7356,0.52376,0.9816,1.10305,1.03426,0.00661834,0.00661834,0.00661834
3,25.7309,1.23029,1.12118,1.207,0.74861,0.63288,0.70709,0.49952,0.99739,1.10186,1.05349,0.0099451,0.0099451,0.0099451
4,32.4703,1.25195,1.12102,1.21508,0.72059,0.56585,0.63618,0.43745,1.08401,2.78153,1.14743,0.00998515,0.00998515,0.00998515
5,39.2743,1.23213,1.06869,1.20932,0.76641,0.60061,0.6987,0.49821,1.02688,1.00452,1.10758,0.0099802,0.0099802,0.0099802
6,46.3387,1.22957,1.0471,1.20142,0.7523,0.6482,0.71724,0.48813,1.09187,1.23285,1.1223,0.00997525,0.00997525,0.00997525
7,53.0483,1.21712,1.03566,1.20343,0.76393,0.62412,0.71026,0.49604,1.02449,1.74143,1.10179,0.0099703,0.0099703,0.0099703
8,59.859,1.21951,1.03259,1.21145,0.78111,0.64214,0.72409,0.51187,1.01389,3.20713,1.07777,0.00996535,0.00996535,0.00996535
9,66.6178,1.19437,0.99298,1.1905,0.8049,0.63372,0.73046,0.49304,1.11634,1.267,1.14139,0.0099604,0.0099604,0.0099604
10,73.3472,1.19563,1.00565,1.19858,0.82063,0.65477,0.75091,0.5414,1.00671,1.3148,1.08647,0.00995545,0.00995545,0.00995545
11,80.0235,1.18443,0.97721,1.19261,0.80836,0.65067,0.74791,0.53266,0.99189,1.08626,1.06969,0.0099505,0.0099505,0.0099505
12,86.753,1.16857,0.9761,1.18497,0.8179,0.6596,0.76157,0.54491,0.99733,1.202,1.07755,0.00994555,0.00994555,0.00994555
13,93.4481,1.14476,0.94404,1.17281,0.7776,0.61199,0.70771,0.47192,1.12211,1.51258,1.13418,0.0099406,0.0099406,0.0099406
14,100.179,1.15343,0.93734,1.16805,0.83466,0.69384,0.78915,0.57412,0.95457,0.7753,1.04543,0.00993565,0.00993565,0.00993565
15,107.179,1.15106,0.93355,1.17567,0.779,0.64168,0.72554,0.45866,1.22751,2.94992,1.19029,0.0099307,0.0099307,0.0099307
16,113.956,1.1332,0.91025,1.16192,0.82469,0.68845,0.78277,0.56413,0.9915,1.01348,1.06046,0.00992575,0.00992575,0.00992575
17,120.775,1.11714,0.90956,1.15624,0.8228,0.67481,0.76749,0.55356,0.9769,1.6946,1.06076,0.0099208,0.0099208,0.0099208
18,127.425,1.1003,0.87984,1.14301,0.81193,0.65726,0.74683,0.51707,1.06399,0.93389,1.09642,0.00991585,0.00991585,0.00991585
19,134.155,1.11053,0.90589,1.15692,0.80482,0.66403,0.75733,0.54318,0.96847,1.40309,1.04651,0.0099109,0.0099109,0.0099109
20,140.852,1.11312,0.88775,1.14826,0.82304,0.6802,0.76793,0.55099,0.98881,0.8692,1.075,0.00990595,0.00990595,0.00990595
21,147.547,1.07992,0.85801,1.1312,0.83131,0.70714,0.79169,0.57162,0.97174,0.99024,1.05389,0.009901,0.009901,0.009901
22,154.241,1.07873,0.85262,1.13097,0.83702,0.69452,0.78613,0.56893,0.97277,0.77039,1.05607,0.00989605,0.00989605,0.00989605
23,160.99,1.09527,0.89143,1.13997,0.82709,0.69037,0.78164,0.55389,1.0024,1.00531,1.06131,0.0098911,0.0098911,0.0098911
24,167.791,1.0716,0.84327,1.12926,0.79637,0.68563,0.75081,0.54025,0.95195,1.23461,1.05275,0.00988615,0.00988615,0.00988615
25,174.444,1.0714,0.84739,1.13156,0.85224,0.68744,0.78782,0.563,0.98491,2.71065,1.06766,0.0098812,0.0098812,0.0098812
26,181.241,1.05133,0.82209,1.12063,0.85427,0.7036,0.79553,0.58713,0.92959,1.09212,1.03903,0.00987625,0.00987625,0.00987625
27,187.933,1.05351,0.8395,1.12202,0.81734,0.65785,0.75329,0.54034,0.99291,0.87645,1.07698,0.0098713,0.0098713,0.0098713
28,194.658,1.05208,0.81857,1.117,0.81525,0.70697,0.78661,0.57405,0.93567,1.23661,1.04693,0.00986635,0.00986635,0.00986635
29,201.379,1.05703,0.82819,1.1229,0.8415,0.71617,0.79951,0.58556,0.94227,0.79493,1.04451,0.0098614,0.0098614,0.0098614
30,208.137,1.05012,0.82423,1.12001,0.81323,0.69013,0.77442,0.55448,0.97677,0.81565,1.05234,0.00985645,0.00985645,0.00985645
31,214.819,1.05016,0.81676,1.11428,0.84132,0.71371,0.80208,0.58895,0.93066,0.87846,1.03778,0.0098515,0.0098515,0.0098515
32,221.677,1.04564,0.80805,1.10908,0.81776,0.70125,0.78318,0.57459,0.92958,0.78523,1.03918,0.00984655,0.00984655,0.00984655
33,228.387,1.01154,0.77899,1.09641,0.81143,0.6761,0.76241,0.55671,0.94178,1.38287,1.05739,0.0098416,0.0098416,0.0098416
34,235.071,1.02623,0.79304,1.10354,0.81459,0.68323,0.76966,0.56021,0.96226,1.05422,1.0551,0.00983665,0.00983665,0.00983665
35,241.792,1.02248,0.79344,1.0996,0.84586,0.71346,0.80195,0.58994,0.93026,0.90791,1.0418,0.0098317,0.0098317,0.0098317
36,248.526,1.01119,0.7764,1.09343,0.81926,0.70748,0.7907,0.57883,0.93194,0.8468,1.03739,0.00982675,0.00982675,0.00982675
37,255.265,1.00744,0.78001,1.09468,0.8455,0.71888,0.81071,0.58975,0.95648,1.20229,1.05471,0.0098218,0.0098218,0.0098218
38,261.959,0.9958,0.76223,1.09249,0.85411,0.70529,0.80426,0.57711,0.96025,0.78759,1.05025,0.00981685,0.00981685,0.00981685
39,268.829,1.00265,0.76728,1.09079,0.82628,0.69047,0.78374,0.5658,0.94669,1.58652,1.04528,0.0098119,0.0098119,0.0098119
40,275.621,0.99008,0.74301,1.08264,0.84172,0.69249,0.78687,0.5744,0.95528,0.89358,1.0492,0.00980695,0.00980695,0.00980695
41,282.386,1.01157,0.77557,1.09026,0.82755,0.70091,0.78614,0.57824,0.91758,0.94748,1.02632,0.009802,0.009802,0.009802
42,289.123,0.98737,0.75375,1.08182,0.85579,0.71154,0.80501,0.58872,0.91614,1.442,1.03142,0.00979705,0.00979705,0.00979705
43,295.845,0.9665,0.72662,1.07585,0.85736,0.69842,0.79363,0.58911,0.91389,0.94554,1.04069,0.0097921,0.0097921,0.0097921
44,302.544,0.98255,0.75389,1.08833,0.83397,0.70717,0.7935,0.58183,0.93952,0.87116,1.04865,0.00978715,0.00978715,0.00978715
