epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2763,1.99941,2.5672,2.44402,0.56705,0.54308,0.53437,0.32119,1.29944,1.66002,1.97511,0.00325397,0.00325397,0.00325397
2,14.9145,1.48021,1.47831,2.08185,0.7481,0.68212,0.73449,0.49888,1.21921,1.05568,1.81996,0.00658404,0.00658404,0.00658404
3,19.5675,1.35981,1.21458,1.94846,0.78511,0.69143,0.76688,0.52496,1.18397,1.00246,1.78481,0.00991081,0.00991081,0.00991081
4,24.1611,1.30672,1.12648,1.91638,0.77099,0.69786,0.7647,0.53062,1.13712,1.21537,1.76693,0.00998515,0.00998515,0.00998515
5,28.7268,1.27522,1.07528,1.89888,0.80999,0.71509,0.79822,0.56772,1.11264,0.92312,1.69164,0.0099802,0.0099802,0.0099802
6,33.3427,1.22809,1.02974,1.84241,0.83514,0.70113,0.80504,0.57357,1.09689,0.92955,1.70543,0.00997525,0.00997525,0.00997525
7,37.919,1.22536,1.0239,1.85527,0.81267,0.71657,0.80182,0.57603,1.08274,0.90817,1.67755,0.0099703,0.0099703,0.0099703
8,42.5497,1.19995,0.98638,1.823,0.8274,0.70779,0.79935,0.57842,1.07517,0.91251,1.67973,0.00996535,0.00996535,0.00996535
9,47.0914,1.18805,0.98264,1.82202,0.76,0.65627,0.7397,0.52287,1.13167,1.03851,1.73737,0.0099604,0.0099604,0.0099604
10,51.8159,1.15556,0.94407,1.7883,0.82438,0.72906,0.8135,0.59029,1.06835,0.89104,1.67248,0.00995545,0.00995545,0.00995545
11,56.5131,1.16186,0.94305,1.80793,0.81551,0.71093,0.80059,0.57539,1.07142,0.92029,1.68123,0.0099505,0.0099505,0.0099505
12,61.1449,1.16132,0.94793,1.80292,0.816,0.70499,0.80087,0.58566,1.06563,0.93265,1.67011,0.00994555,0.00994555,0.00994555
13,65.7429,1.14015,0.93044,1.77873,0.82982,0.71658,0.81145,0.59222,1.06398,0.86495,1.65902,0.0099406,0.0099406,0.0099406
14,70.2824,1.13838,0.91546,1.77581,0.82381,0.71747,0.8107,0.59862,1.0532,0.86158,1.6533,0.00993565,0.00993565,0.00993565
15,74.8342,1.12477,0.9077,1.74564,0.81623,0.70499,0.79313,0.56843,1.10146,0.91437,1.69554,0.0099307,0.0099307,0.0099307
16,79.3528,1.11494,0.89222,1.7327,0.83024,0.71539,0.81035,0.5894,1.0648,0.87739,1.66,0.00992575,0.00992575,0.00992575
17,83.8697,1.11923,0.90443,1.76744,0.83335,0.71836,0.81039,0.59553,1.04144,0.87094,1.6681,0.0099208,0.0099208,0.0099208
18,88.4167,1.10227,0.88099,1.74323,0.83329,0.72698,0.81707,0.59381,1.04948,0.8621,1.67196,0.00991585,0.00991585,0.00991585
19,93.1818,1.09473,0.87476,1.75728,0.83699,0.73223,0.81789,0.60096,1.04062,0.85802,1.6524,0.0099109,0.0099109,0.0099109
20,97.7359,1.10469,0.86534,1.75066,0.85593,0.72895,0.83156,0.60983,1.04757,0.85199,1.6466,0.00990595,0.00990595,0.00990595
21,102.292,1.07489,0.8537,1.70737,0.83588,0.73203,0.82049,0.60502,1.04283,0.86449,1.64182,0.009901,0.009901,0.009901
22,106.821,1.05505,0.8424,1.71042,0.85279,0.7091,0.81536,0.59967,1.05284,0.86129,1.66191,0.00989605,0.00989605,0.00989605
23,111.452,1.0585,0.83919,1.73243,0.85063,0.7207,0.81956,0.60595,1.04315,0.85224,1.65596,0.0098911,0.0098911,0.0098911
24,116.014,1.08019,0.85368,1.73873,0.86313,0.69222,0.81497,0.6004,1.06936,0.87685,1.67412,0.00988615,0.00988615,0.00988615
25,120.545,1.06647,0.83227,1.70653,0.84646,0.72722,0.82485,0.60996,1.04191,0.85186,1.64007,0.0098812,0.0098812,0.0098812
26,125.168,1.06717,0.8366,1.70556,0.81541,0.73361,0.81273,0.59307,1.06626,0.88175,1.67911,0.00987625,0.00987625,0.00987625
27,129.768,1.05069,0.81481,1.69625,0.82358,0.74896,0.82406,0.61465,1.02771,0.83945,1.63237,0.0098713,0.0098713,0.0098713
28,134.512,1.05693,0.82593,1.68792,0.84037,0.7344,0.82346,0.61323,1.02335,0.84449,1.61489,0.00986635,0.00986635,0.00986635
29,139.035,1.03411,0.79923,1.66669,0.84288,0.73473,0.82606,0.61223,1.04599,0.84091,1.63849,0.0098614,0.0098614,0.0098614
30,143.564,1.03904,0.80523,1.68258,0.83068,0.74627,0.82637,0.61318,1.03972,0.82387,1.63751,0.00985645,0.00985645,0.00985645
31,148.046,1.03213,0.80694,1.67443,0.83634,0.70826,0.80923,0.5985,1.05983,0.84906,1.65818,0.0098515,0.0098515,0.0098515
32,152.574,1.01541,0.78137,1.64414,0.84077,0.73232,0.82226,0.60828,1.05403,0.81808,1.63849,0.00984655,0.00984655,0.00984655
33,157.195,1.0083,0.78295,1.64905,0.83805,0.73024,0.82841,0.62466,1.02198,0.82445,1.63379,0.0098416,0.0098416,0.0098416
34,161.812,1.00609,0.78489,1.65679,0.82838,0.73707,0.81706,0.60636,1.03565,0.83714,1.62853,0.00983665,0.00983665,0.00983665
35,166.372,1.01165,0.79407,1.66118,0.84672,0.73028,0.82429,0.61701,1.0281,0.83573,1.61834,0.0098317,0.0098317,0.0098317
36,170.938,1.00944,0.77775,1.65872,0.85395,0.7344,0.82686,0.61419,1.03612,0.81749,1.62686,0.00982675,0.00982675,0.00982675
37,175.686,1.01588,0.77962,1.66234,0.83307,0.72787,0.82027,0.61166,1.02945,0.81963,1.64757,0.0098218,0.0098218,0.0098218
38,180.408,1.0074,0.77748,1.6576,0.82202,0.735,0.81733,0.60479,1.04638,0.8317,1.67724,0.00981685,0.00981685,0.00981685
39,184.927,1.00488,0.76855,1.65107,0.84592,0.73234,0.82305,0.60819,1.04482,0.81593,1.63582,0.0098119,0.0098119,0.0098119
40,189.46,1.01289,0.78294,1.66243,0.83784,0.73372,0.82211,0.61137,1.04632,0.81511,1.64797,0.00980695,0.00980695,0.00980695
41,194.016,0.97063,0.74281,1.62421,0.8312,0.72608,0.81297,0.60449,1.04289,0.84819,1.64982,0.009802,0.009802,0.009802
42,198.548,0.98795,0.74546,1.63369,0.82845,0.73455,0.81431,0.60648,1.02835,0.84167,1.65966,0.00979705,0.00979705,0.00979705
43,203.163,0.97166,0.74382,1.62374,0.81156,0.75045,0.81879,0.61157,1.02492,0.83271,1.64927,0.0097921,0.0097921,0.0097921
44,207.703,0.9953,0.75029,1.63402,0.83121,0.7271,0.8172,0.60988,1.04934,0.85328,1.63786,0.00978715,0.00978715,0.00978715
45,212.234,0.96141,0.7309,1.61188,0.85143,0.72018,0.81805,0.61151,1.05832,0.82783,1.66778,0.0097822,0.0097822,0.0097822
46,216.936,0.97135,0.73856,1.63005,0.80412,0.72727,0.79727,0.59228,1.054,0.86773,1.66459,0.00977725,0.00977725,0.00977725
