epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2449,2.20155,2.78663,2.18882,0.05788,0.0303,0.00942,0.0029,1.98311,3.59253,2.06385,0,0,0
2,25.8957,2.17247,3.02221,2.20758,0.03482,0.06061,0.01112,0.00417,1.88888,3.48545,1.98986,1.868e-05,1.868e-05,1.868e-05
3,35.4183,2.18907,3.28275,2.12671,0.02663,0.03153,0.02363,0.00925,1.70458,3.35321,1.81948,3.472e-05,3.472e-05,3.472e-05
4,47.1877,2.04817,2.95525,1.98617,0.12706,0.18182,0.0603,0.02857,1.66363,3.1578,1.72116,4.812e-05,4.812e-05,4.812e-05
5,63.557,1.92477,2.57722,1.96011,0.18387,0.27273,0.11944,0.04089,1.59118,3.33208,1.62435,5.888e-05,5.888e-05,5.888e-05
6,136.567,1.63202,2.64978,1.80055,0.16884,0.33333,0.10826,0.04979,1.46654,3.76137,1.56453,6.7e-05,6.7e-05,6.7e-05
7,142.027,1.61558,2.53025,1.82114,0.20451,0.27273,0.13558,0.05712,1.49129,4.15623,1.5798,7.248e-05,7.248e-05,7.248e-05
8,146.491,1.5712,2.1324,1.66824,0.28493,0.51515,0.17885,0.06845,1.50094,4.49448,1.56233,7.532e-05,7.532e-05,7.532e-05
9,150.544,1.43559,1.97693,1.59009,0.31351,0.45455,0.22539,0.1055,1.55615,4.88778,1.55756,7.552e-05,7.552e-05,7.552e-05
10,154.671,1.31556,1.77185,1.49169,0.2772,0.48485,0.23254,0.11305,1.57539,5.46947,1.53934,7.308e-05,7.308e-05,7.308e-05
11,160.555,1.3021,1.59947,1.4299,0.37998,0.33333,0.26623,0.1351,1.58561,5.98293,1.51886,6.8e-05,6.8e-05,6.8e-05
12,164.753,1.15541,1.59408,1.39376,0.33429,0.36364,0.27706,0.14254,1.57029,6.2354,1.47996,6.028e-05,6.028e-05,6.028e-05
13,168.743,1.13959,1.52881,1.29796,0.31055,0.36364,0.26954,0.14415,1.5607,6.21859,1.46249,4.992e-05,4.992e-05,4.992e-05
14,172.826,1.16331,1.43519,1.33538,0.32168,0.36364,0.26452,0.14983,1.53095,5.92607,1.4315,3.692e-05,3.692e-05,3.692e-05
15,176.751,1.14109,1.36698,1.32612,0.28933,0.36364,0.24953,0.13751,1.51564,5.6179,1.41149,2.128e-05,2.128e-05,2.128e-05
